#SampleID	faith_pd
11A	68.45906025879339
11B	74.45455558055687
12A	61.83061144043342
12B	65.29583218882266
14A	70.42762571737137
14B	72.41337103467407
15A	74.32906949691454
15B	77.25016631656793
17A	77.9792884054482
17B	80.0236677876443
18A	80.34155490526058
18B	60.9757956833048
20A	71.00745364287633
20B	59.26661631530743
21A	63.31999409660348
21B	56.78146689389941
23A	66.47561867726274
23B	51.27615930519262
24A	72.57816041020295
24B	56.22629881743724
2A	73.43668262991179
2B	72.26544124863238
3A	57.24267247211935
3B	70.68968704510134
5A	59.86290714810667
5B	67.72534546391739
6A	70.81800541375065
6B	65.1589718080067
8A	66.8911096125081
8B	69.0120030235791
9A	73.12356745620157
9B	67.1849277070902
