"firm_sums","ID","bac_sums","firm_bac_ratio"
19992,"11A",2586,7.7308584686775
20950,"11B",3316,6.31785283474065
21051,"12A",1143,18.4173228346457
19487,"12B",1444,13.4951523545706
19601,"14A",3073,6.37845753335503
21329,"14B",3093,6.89589395408988
30579,"15A",3752,8.15005330490405
25354,"15B",3770,6.72519893899204
31088,"17A",2643,11.7623912220961
37857,"17B",4626,8.18352788586252
30375,"18A",4269,7.11524947294448
28443,"18B",1449,19.6293995859213
28350,"20A",2619,10.8247422680412
31242,"20B",1397,22.3636363636364
24696,"21A",909,27.1683168316832
27835,"21B",183,152.103825136612
32369,"23A",1629,19.8704726826274
25820,"23B",2066,12.4975798644724
29993,"24A",3416,8.78015222482436
28501,"24B",245,116.330612244898
21303,"2A",2733,7.794731064764
31745,"2B",3554,8.93218908272369
31674,"3A",707,44.8005657708628
36479,"3B",2918,12.5013708019191
19809,"5A",873,22.6907216494845
19553,"5B",1504,13.000664893617
29365,"6A",1865,15.745308310992
32622,"6B",750,43.496
31161,"8A",1520,20.5006578947368
34622,"8B",3239,10.68910157456
21403,"9A",5673,3.77278335977437
23826,"9B",2180,10.9293577981651
