	pielou_evenness
10	0.6073028678207334
11	0.7354136095441558
11A	0.7137039996372285
11B	0.7433671596117778
12	0.7135388230303102
12A	0.6315889258674239
12B	0.7050197704572818
14A	0.7475464317441779
14B	0.7705562231073058
15	0.6923404767998494
15A	0.6963663585348019
15B	0.7737874770049281
16	0.7088087764059551
17	0.6355826138668809
17A	0.7242333065360499
17B	0.7428909120680591
18	0.7056853655587326
18A	0.7647666669057965
18B	0.6800504148303878
20A	0.7167905842520027
20B	0.656937800697644
21	0.5938046194331918
21A	0.7442014972406543
21B	0.6918540142321742
22	0.7055993666689483
23	0.6472758524846752
23A	0.6833809041112335
23B	0.6171963126605279
24	0.6854368094144363
24A	0.6894225829211512
24B	0.6081151249980364
27	0.6360083227679119
28	0.644319942754767
29	0.7942397795337796
2A	0.7752055122554065
2B	0.7072158939247994
3	0.66204019546376
30	0.7363318803073583
33	0.7313296232687584
34	0.7076166449033332
35	0.6567021960963692
36	0.7166377333303618
39	0.7421001944268862
3A	0.6990072301505531
3B	0.6573760828928763
4	0.6133937976524598
40	0.691683448387951
41	0.729408530512565
42	0.7738492384839096
45	0.6022712912113368
46	0.6577079766816523
47	0.6786659590033893
48	0.7459197571717086
5	0.7178955644912749
51	0.6679969573951129
52	0.6236405528774832
53	0.7360436527938297
54	0.7678374819695605
57	0.6681617737237843
58	0.6379280504959033
59	0.6370690207071011
5A	0.6310434613777698
5B	0.7853471221906998
6	0.6971483587296711
60	0.7517203167710388
6A	0.679208059113572
6B	0.7009467491575208
8A	0.6878745311189298
8B	0.6464859022985856
9	0.7473538456346095
9A	0.7559126120652349
9B	0.6651875008012792
