	observed_features
10	176
11	264
11A	256
11B	274
12	225
12A	214
12B	247
14A	262
14B	285
15	207
15A	301
15B	299
16	212
17	191
17A	302
17B	324
18	239
18A	309
18B	225
20A	274
20B	207
21	178
21A	230
21B	199
22	185
23	205
23A	250
23B	174
24	208
24A	296
24B	194
27	154
28	223
29	248
2A	267
2B	259
3	263
30	245
33	332
34	241
35	214
36	198
39	223
3A	211
3B	261
4	195
40	280
41	281
42	296
45	155
46	260
47	229
48	260
5	220
51	205
52	184
53	194
54	303
57	229
58	219
59	214
5A	194
5B	248
6	301
60	327
6A	254
6B	223
8A	243
8B	250
9	211
9A	280
9B	229
